time,valgus
2019-04-15 08:23:22,879
2019-04-15 08:33:24,878
2019-04-15 08:43:27,874
2019-04-15 08:53:30,879
2019-04-15 09:03:32,880
2019-04-15 09:13:35,880
2019-04-15 09:23:37,881
2019-04-15 09:33:40,884
2019-04-15 09:43:43,885
2019-04-15 09:53:46,893
2019-04-15 10:03:47,900
2019-04-15 10:13:51,905
2019-04-15 10:23:53,914
2019-04-15 10:33:56,919
2019-04-15 10:43:59,921
2019-04-15 10:54:01,918
2019-04-15 11:04:03,917
2019-04-15 11:14:06,908
2019-04-15 11:24:08,902
2019-04-15 11:34:09,895
2019-04-15 11:44:11,893
2019-04-15 11:54:15,890
2019-04-15 12:04:17,889
2019-04-15 12:14:21,890
2019-04-15 12:24:24,888
2019-04-15 12:34:26,888
2019-04-15 12:44:29,889
2019-04-15 12:54:30,888
2019-04-15 13:04:32,886
2019-04-15 13:14:35,886
2019-04-15 13:24:38,884
2019-04-15 13:34:41,885
2019-04-15 13:44:43,881
2019-04-15 13:54:45,879
2019-04-15 14:04:47,877
2019-04-15 14:14:50,876
2019-04-15 14:24:53,869
2019-04-15 14:34:56,867
2019-04-15 14:44:59,857
2019-04-15 14:55:01,850
2019-04-15 15:05:03,838
2019-04-15 15:15:06,830
2019-04-15 15:25:08,819
2019-04-15 15:35:10,808
2019-04-15 15:45:12,800
2019-04-15 15:55:14,783
2019-04-15 16:05:16,770
2019-04-15 16:15:18,754
2019-04-15 16:25:21,744
2019-04-15 16:35:24,728
2019-04-15 16:45:26,705
2019-04-15 16:55:27,675
2019-04-15 17:05:29,636
2019-04-15 17:15:33,588
2019-04-15 17:25:36,534
2019-04-15 17:35:37,466
2019-04-15 17:45:39,440
2019-04-15 17:55:43,402
2019-04-15 18:05:46,401
2019-04-15 18:15:48,406
2019-04-15 18:25:50,397
2019-04-15 18:35:53,400
2019-04-15 18:45:55,401
2019-04-15 18:55:59,388
2019-04-15 19:06:02,404
2019-04-15 19:16:04,404
2019-04-15 19:26:07,408
2019-04-15 19:36:09,405
2019-04-15 19:46:12,396
2019-04-15 19:56:14,402
2019-04-15 20:06:17,401
2019-04-15 20:16:19,390
2019-04-15 20:26:21,404
2019-04-15 20:36:24,402
2019-04-15 20:46:27,405
2019-04-15 20:56:29,399
2019-04-15 21:06:31,404
2019-04-15 21:16:34,412
2019-04-15 21:26:38,391
2019-04-15 21:36:40,405
2019-04-15 21:46:43,397
2019-04-15 21:56:45,408
2019-04-15 22:06:47,402
2019-04-15 22:16:50,398
2019-04-15 22:26:53,394
2019-04-15 22:36:56,400
2019-04-15 22:46:59,410
2019-04-15 22:57:02,397
2019-04-15 23:07:04,414
2019-04-15 23:17:08,397
2019-04-15 23:27:10,396
2019-04-15 23:37:12,402
2019-04-15 23:47:15,403
2019-04-15 23:57:18,406
2019-04-16 00:07:21,393
2019-04-16 00:17:24,409
2019-04-16 00:27:26,401
2019-04-16 00:37:30,390
2019-04-16 00:47:33,400
2019-04-16 00:57:36,389
2019-04-16 01:07:38,397
2019-04-16 01:17:41,391
2019-04-16 01:27:44,403
2019-04-16 01:37:46,404
2019-04-16 01:47:49,400
2019-04-16 01:57:52,400
2019-04-16 02:07:55,393
2019-04-16 02:17:58,397
2019-04-16 02:28:02,406
2019-04-16 02:38:05,406
2019-04-16 02:48:08,427
2019-04-16 02:58:10,457
2019-04-16 03:08:13,516
2019-04-16 03:18:15,561
2019-04-16 03:28:18,606
2019-04-16 03:38:21,645
2019-04-16 03:57:39,694
2019-04-16 04:07:42,716
2019-04-16 04:17:44,733
2019-04-16 04:27:47,750
2019-04-16 04:37:50,765
2019-04-16 04:47:52,773
2019-04-16 04:57:55,786
2019-04-16 05:07:58,797
2019-04-16 05:18:01,806
2019-04-16 05:28:03,816
2019-04-16 05:38:06,824
2019-04-16 05:48:09,831
2019-04-16 05:58:11,840
2019-04-16 06:08:14,845
2019-04-16 06:18:17,849
2019-04-16 06:28:19,853
2019-04-16 06:38:22,859
2019-04-16 06:48:24,861
2019-04-16 06:58:27,868
2019-04-16 07:08:29,868
2019-04-16 07:18:32,870
2019-04-16 07:28:34,872
2019-04-16 07:38:37,876
2019-04-16 07:48:39,876
2019-04-16 07:58:42,876
2019-04-16 08:08:45,879
2019-04-16 08:18:48,880
2019-04-16 08:28:50,880
2019-04-16 08:38:53,880
2019-04-16 08:48:55,881
2019-04-16 08:58:58,883
2019-04-16 09:09:00,885
2019-04-16 09:19:03,885
2019-04-16 09:29:05,886
2019-04-16 09:39:08,893
2019-04-16 09:49:11,897
2019-04-16 09:59:13,903
2019-04-16 10:09:16,908
2019-04-16 10:19:18,917
2019-04-16 10:29:20,924
2019-04-16 10:39:23,925
2019-04-16 10:49:26,921
2019-04-16 10:59:29,914
2019-04-16 11:09:32,916
2019-04-16 11:19:35,906
2019-04-16 11:29:38,900
2019-04-16 11:39:41,897
2019-04-16 11:49:43,895
2019-04-16 11:59:46,895
2019-04-16 12:09:49,893
2019-04-16 12:19:51,893
2019-04-16 12:29:53,892
2019-04-16 12:39:56,891
2019-04-16 12:49:59,890
2019-04-16 13:00:02,888
2019-04-16 13:10:04,889
2019-04-16 13:20:07,888
2019-04-16 13:30:10,884
2019-04-16 13:40:12,885
2019-04-16 13:50:15,881
2019-04-16 14:00:18,883
2019-04-16 14:10:23,880
2019-04-16 14:20:25,873
2019-04-16 14:30:28,870
2019-04-16 14:40:30,866
2019-04-16 14:50:33,869
2019-04-16 15:00:36,860
2019-04-16 15:10:39,854
2019-04-16 15:20:41,848
2019-04-16 15:30:44,837
2019-04-16 15:40:47,831
2019-04-16 15:50:49,822
2019-04-16 16:00:51,817
2019-04-16 16:10:54,807
2019-04-16 16:20:56,797
2019-04-16 16:30:59,786
2019-04-16 16:41:01,774
2019-04-16 16:51:04,758
2019-04-16 17:01:06,738
2019-04-16 17:11:09,721
2019-04-16 17:21:13,687
2019-04-16 17:31:17,658
2019-04-16 17:41:19,640
2019-04-16 17:51:22,630
2019-04-16 18:01:24,615
2019-04-16 18:11:26,608
2019-04-16 18:21:29,618
2019-04-16 18:31:31,620
2019-04-16 18:41:33,622
2019-04-16 18:51:36,624
2019-04-16 19:01:38,609
2019-04-16 19:11:41,209
2019-04-16 19:21:43,207
2019-04-16 19:31:46,209
2019-04-16 19:41:48,207
2019-04-16 19:51:51,207
2019-04-16 20:01:54,202
2019-04-16 20:11:56,201
2019-04-16 20:21:59,205
2019-04-16 20:32:02,200
2019-04-16 20:42:05,197
2019-04-16 20:52:07,193
2019-04-16 21:02:10,187
2019-04-16 21:12:12,186
2019-04-16 21:22:15,184
2019-04-16 21:32:17,195
2019-04-16 21:42:20,196
2019-04-16 21:52:23,192
2019-04-16 22:02:25,204
2019-04-16 22:12:28,200
2019-04-16 22:22:30,197
2019-04-16 22:32:34,198
2019-04-16 22:42:36,206
2019-04-16 22:52:39,200
2019-04-16 23:02:42,197
2019-04-16 23:12:46,193
2019-04-16 23:22:49,204
2019-04-16 23:32:52,190
2019-04-16 23:42:55,190
2019-04-16 23:52:58,189
2019-04-17 00:03:02,199
2019-04-17 00:13:04,200
2019-04-17 00:23:07,189
2019-04-17 00:33:10,189
2019-04-17 00:43:12,176
2019-04-17 00:53:15,180
2019-04-17 01:03:17,188
2019-04-17 01:13:20,177
2019-04-17 01:23:23,175
2019-04-17 01:33:26,169
2019-04-17 01:43:29,154
2019-04-17 01:53:31,154
2019-04-17 02:03:34,162
